무게,단가,날짜
0,0,2012-05-27
186864,2038,2012-05-28
177579,3062,2012-05-29
172980,3957.857143,2012-05-30
206334,2606.714286,2012-05-31
87876,3177.714286,2012-06-01
118872,3187.857143,2012-06-02
0,0,2012-06-03
272694,4164.571429,2012-06-04
38352,350.1428571,2012-06-05
0,0,2012-06-06
0,0,2012-06-07
0,0,2012-06-08
0,0,2012-06-09
0,0,2012-06-10
373572,4662.428571,2012-06-11
120564,4519.142857,2012-06-12
119862,3313.142857,2012-06-13
214212,3271.857143,2012-06-14
117102,3570,2012-06-15
298470,3371.857143,2012-06-16
0,0,2012-06-17
541920,2548.142857,2012-06-18
191538,2634.428571,2012-06-19
460764,2598.857143,2012-06-20
348828,2611.142857,2012-06-21
276102,2813,2012-06-22
220374,2780.285714,2012-06-23
0,0,2012-06-24
559884,2314.428571,2012-06-25
276108,3020.571429,2012-06-26
266688,2754,2012-06-27
127134,3033.428571,2012-06-28
149418,3510.285714,2012-06-29
223812,2919.285714,2012-06-30
0,0,2012-07-01
681570,3451.571429,2012-07-02
572070,3445.428571,2012-07-03
167610,3699.142857,2012-07-04
0,0,2012-07-05
18,158.7142857,2012-07-06
0,0,2012-07-07
0,0,2012-07-08
0,0,2012-07-09
311160,3423.857143,2012-07-10
405186,2827.285714,2012-07-11
320094,2668.571429,2012-07-12
99372,2553.714286,2012-07-13
331866,2853.428571,2012-07-14
0,0,2012-07-15
314316,2579.285714,2012-07-16
183984,2746.285714,2012-07-17
281016,2836.285714,2012-07-18
271620,2737.714286,2012-07-19
0,0,2012-07-20
71694,2538.428571,2012-07-21
0,0,2012-07-22
470808,1828.571429,2012-07-23
317754,2473.571429,2012-07-24
306180,2481.857143,2012-07-25
234318,2891.142857,2012-07-26
196194,3172,2012-07-27
293052,2180,2012-07-28
0,0,2012-07-29
302940,1714.571429,2012-07-30
180576,1918.285714,2012-07-31
349080,1867.142857,2012-08-01
75960,2353,2012-08-02
0,0,2012-08-03
0,0,2012-08-04
0,0,2012-08-05
0,0,2012-08-06
0,0,2012-08-07
257778,2397.571429,2012-08-08
89964,2532.428571,2012-08-09
249156,2125.714286,2012-08-10
395301,1831.714286,2012-08-11
0,0,2012-08-12
866100,1777.285714,2012-08-13
351534,2284.857143,2012-08-14
499752,1952.142857,2012-08-15
